labels,type,theta,radius,X,Y,Z,sph_theta,sph_phi,sph_radius,urchan,ref
Fp1,,-19.3300079442797,0.524968102579894,83.9171,29.4367,-6.99,19.3300079442797,-4.49425846438099,89.2045911335286,1,average
Fz,,0.305707762796089,0.229780773714807,58.512,-0.312200000000008,66.462,-0.305707762796089,48.6394607313347,88.5491335747561,2,average
F3,,-43.4108384975907,0.333394523356549,53.1112,50.2438,42.192,43.4108384975907,29.9889857958212,84.4121073536255,3,average
F7,,-58.8468130424335,0.543992476705462,42.4743,70.2629,-11.42,58.8468130424335,-7.9186458069831,82.8936528143138,4,average
FT9,,-80.1703104076468,0.669905545876302,14.5673,84.0759,-50.429,80.1703104076468,-30.5829982577344,99.1163318081334,5,average
FC5,,-76.425905045081,0.404915802961252,18.6433,77.2149,24.46,76.425905045081,17.1151554669747,83.1144092014134,6,average
FC1,,-52.6331238807013,0.156571264206631,26.0111,34.0619,79.987,52.6331238807013,61.8171724428064,90.7453057949556,7,average
C3,,-100.091204861626,0.254934755692226,-11.6317,65.3581,64.358,100.091204861626,44.1117439753993,92.4604231252486,8,average
T7,,-100.77642362289,0.534587810593587,-16.0187,84.1611,-9.346,100.77642362289,-6.22580590684565,86.1802600303573,9,average
TP9,,-118.514090733127,0.639614415335785,-46.5147,85.6192,-45.707,118.514090733127,-25.1305947604412,107.626179778574,10,average
CP5,,-120.321875275501,0.39691988792293,-46.5507,79.5922,30.949,120.321875275501,18.5544201738726,97.2611256994797,11,average
CP1,,-143.095865198936,0.182942533988467,-47.2919,35.5131,91.315,143.095865198936,57.070343882076,108.793994789326,12,average
Pz,,179.770648582371,0.247085184557036,-81.115,-0.324699999999985,82.615,-179.770648582371,45.5246667797336,115.779907065475,13,average
P3,,-146.067900588186,0.330544040119353,-78.7878,53.0073,55.94,146.067900588186,30.5020727785165,110.211500679965,14,average
P7,,-135.399960750919,0.507672371419203,-73.4526999999999,72.4343,-2.487,135.399960750919,-1.38102685545654,103.190174545739,15,average
O1,,-165.341502690882,0.475840291152567,-112.449,29.4134,8.839,165.341502690882,4.34874759253787,116.567806968991,16,average
Oz,,179.946340701936,0.45961075848966,-114.892,-0.107599999999992,14.657,-179.946340701936,7.27006347186115,115.823188052997,17,average
O2,,165.099906577999,0.475910596543128,-112.156,-29.8426,8.8,-165.099906577999,4.3360926222369,116.39153367303,18,average
P4,,144.679127258642,0.330934374428524,-78.5602,-55.6667,56.561,-144.679127258642,30.4318126028657,111.667511989522,19,average
P8,,135.004940508199,0.507823297203794,-73.0683,-73.0557,-2.54,-135.004940508199,-1.40819349668302,103.3564868181,20,average
TP10,,118.629907755715,0.639140134849467,-47.0353,-86.1618,-45.869,-118.629907755715,-25.0452242729041,108.3519283923,21,average
CP6,,118.955412175787,0.399198118097419,-46.1013,-83.3218,31.206,-118.955412175787,18.1443387424646,100.208116701842,22,average
CP2,,140.805909212715,0.18783524660441,-47.0731,-38.3838,90.695,-140.805909212715,56.1896556112061,109.154825230266,23,average
Cz,,177.49588186488,0.0290552990301537,-9.16700000000002,-0.4009,100.244,-177.49588186488,84.7700461745723,100.663072403985,24,average
C4,,99.2245976129473,0.260682191065454,-10.9003,-67.1179,63.58,-99.2245976129473,43.0772056082183,93.091597045598,25,average
T8,,100.012028948154,0.534824679694813,-15.0203,-85.0799,-9.49,-100.012028948154,-6.26844234506632,86.9152397229623,26,average
FT10,,80.3086143619577,0.670202947989538,14.3647,-84.1131,-50.538,-80.3086143619577,-30.6365306381169,99.1738253860362,27,average
FC6,,75.9283864803437,0.407797868664773,19.9357,-79.5341,24.438,-75.9283864803437,16.5963836403408,85.5588747080044,28,average
FC2,,52.7630945672643,0.161132517699031,26.4379,-34.7841,78.808,-52.7630945672643,60.9961468141745,90.1088066352008,29,average
F4,,43.6676697334794,0.341494751456901,54.3048,-51.8362,40.814,-43.6676697334794,28.5309447377578,85.4504858352485,30,average
F8,,58.693815790713,0.544390148238912,44.4217,-73.0431,-12,-58.693815790713,-7.99022668300414,86.3283376910502,31,average
Fp2,,19.3854287280865,0.524989424811969,84.8959,-29.8723,-7.08,-19.3854287280865,-4.49809646615443,90.2762125041808,32,average
FCz,,0.7867,0.095376,27.39,-0.3761,88.668,-0.7867,72.8323,92.8028,66,average
